cof,ASA_m^2/g,Density,LS,B,O,C,H,Si,N,S,Ni,Zn,Cu,Co,F,P,Cl,V,Br
20130N2,1655.89,0.581431,27.54388,0.0,0.0,0.5714285714285714,0.3333333333333333,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476
19230N2,2186.48,0.50258,18.893,0.0,0.0129870129870129,0.5584415584415584,0.3766233766233766,0.0,0.0519480519480519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20211N2,2096.07,0.538649,20.2998,0.0,0.0,0.5625,0.40625,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20051N2,1916.83,0.51313,26.26799,0.0,0.0300751879699248,0.5714285714285714,0.3308270676691729,0.0,0.0601503759398496,0.0,0.0075187969924812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17050N2,2224.45,0.4697,24.86396,0.0,0.0,0.52,0.4,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19101N2,1422.6,0.754903,18.31073,0.0,0.1428571428571428,0.6428571428571429,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19363N2,2153.24,0.408946,33.62292,0.0,0.0357142857142857,0.5357142857142857,0.3571428571428571,0.0,0.0357142857142857,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12050N2,1146.66,0.903296,9.50439,0.0625,0.0,0.5,0.375,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19411N2,1862.29,0.522701,36.19593,0.0,0.0,0.6071428571428571,0.3571428571428571,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14073N2,4745.05,0.312968,20.23652,0.0,0.0408163265306122,0.5714285714285714,0.3469387755102041,0.0,0.0408163265306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07010N3,5075.23,0.420553,9.04156,0.0816326530612244,0.0816326530612244,0.5102040816326531,0.3265306122448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20410N2,2294.62,0.498816,27.2711,0.0,0.0512820512820512,0.5384615384615384,0.358974358974359,0.0,0.0512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
