name,h2_77K_1bar,h2_77K_5bar,h2_77K_25bar,h2_77K_50bar,h2_77K_75bar,h2_77K_100bar,h2_198K_1bar,h2_198K_5bar,h2_198K_25bar,h2_198K_50bar,h2_198K_75bar,h2_198K_100bar,h2_298K_1bar,h2_298K_5bar,h2_298K_25bar,h2_298K_50bar,h2_298K_75bar,h2_298K_100bar,h2_ads_unit,h2_77K_henry,h2_198K_henry,h2_298K_henry,h2_henry_unit,o2_1bar,o2_5bar,o2_10bar,o2_20bar,o2_30bar,o2_50bar,o2_80bar,o2_100bar,o2_140bar,o2_200bar,o2_ads_unit,o2_henry,o2_henry_unit,co2_0.001bar,co2_30bar,co2_ads_unit,co2_henry,co2_henry_unit,ch4_1.0bar,ch4_5.8bar,ch4_20bar,ch4_35bar,ch4_50bar,ch4_65bar,ch4_ads_unit,ch4_henry,ch4_henry_unit,n2_0.001bar,n2_30bar,n2_ads_unit,n2_henry,n2_henry_unit,xe_henry,xe_henry_unit,kr_henry,kr_henry_unit,h2o_henry,h2o_henry_unit,h2s_henry,h2s_henry_unit
20610N2,8.608328660304,18.943764395251,33.019479369199,42.110342971447,48.077294383341,52.526692717526,0.22060283003857,1.091591484438,4.9711857096446,9.2718817030703,13.05930539919,16.210133543904,0.10064407029033,0.51593066315707,2.4735263659925,4.7171871583428,6.7791652584701,8.9211435563796,mol/kg,0.00013306,2.24494e-06,1.0245e-06,mol/kg/Pa,0.26753960240735,1.2876791967567,2.4798815218951,4.7074508933689,6.7560540901909,10.14223068815,14.573219838667,16.69758646272,20.609346914909,24.944485361109,mol/kg,2.67906e-06,mol/kg/Pa,0.000809970850325,26.302519872034,mol/kg,8.59769e-06,mol/kg/Pa,0.58502325355474,3.0427115741509,8.7281711165622,12.857053600999,15.90103620633,18.234088704696,mol/kg,5.81807e-06,mol/kg/Pa,0.000311527250125,5.9197031123253,mol/kg,2.49256e-06,mol/kg/Pa,2.22059e-05,mol/kg/Pa,6.31923e-06,mol/kg/Pa,3.35566e-06,mol/kg/Pa,2.05759e-05,mol/kg/Pa
21052N2,12.492448150163,24.194546921414,40.296970351601,48.517777408816,53.710548452411,56.759957794156,0.27561511494018,1.2995588391758,5.8503033354957,10.469986896706,14.146965543976,17.461888078599,0.10694729457448,0.53812394376568,2.4914041701322,4.8462610026037,7.0113993028984,8.9869400521249,mol/kg,0.0017177,2.79218e-06,1.06664e-06,mol/kg/Pa,0.43272520729672,1.8391789159188,3.5167028827216,6.1882801760459,8.3630364739867,12.067272163642,16.230582744729,18.457953724127,22.116277085396,26.012642863872,mol/kg,4.44456e-06,mol/kg/Pa,0.0062728701689457,31.889789889667,mol/kg,6.27111e-05,mol/kg/Pa,0.88418433832251,4.0935044849579,10.228093247723,14.376329583437,17.33540031962,19.667728454469,mol/kg,9.4883e-06,mol/kg/Pa,0.00033269802573428,7.1776394358039,mol/kg,3.66302e-06,mol/kg/Pa,6.77527e-05,mol/kg/Pa,1.26364e-05,mol/kg/Pa,4.1109e-05,mol/kg/Pa,0.000164104,mol/kg/Pa
20473N2,7.3510147145437,18.898033666196,39.89162290054,56.159211591417,69.075599761926,79.111761809834,0.32344651147148,1.5423304754172,7.3675759789018,14.026942825161,19.844929332904,25.277221200277,0.17124060571852,0.82582278711346,4.0257135740498,7.8478884921864,11.566716819101,15.01172865728,mol/kg,0.00010842,3.18406e-06,1.67488e-06,mol/kg/Pa,0.31343805907869,1.5075589896365,3.0262484394098,5.8383403733474,8.4689143974796,13.304997163265,19.482671390869,23.181371687624,29.767765014705,38.090692942275,mol/kg,3.22481e-06,mol/kg/Pa,0.00092484982779,26.67504568244,mol/kg,9.51499e-06,mol/kg/Pa,0.60480339406972,3.2213917530735,9.4324519840542,14.50976462091,18.741624712284,22.43657183939,mol/kg,6.1132e-06,mol/kg/Pa,0.0003064909313025,7.8429900143194,mol/kg,3.07894e-06,mol/kg/Pa,2.08823e-05,mol/kg/Pa,6.51933e-06,mol/kg/Pa,2.626e-05,mol/kg/Pa,1.93815e-05,mol/kg/Pa
15161N2,11.103453477934,19.127537351222,29.268908832253,34.1504567949,36.88040661267,38.670558779522,0.18227168235329,0.87459743850749,3.9484901189698,7.0903569231944,9.6708522919998,11.870785622156,0.06726513683065,0.33912618262137,1.5915250418259,3.0938285072121,4.4692055840233,5.7621895149163,mol/kg,0.00142707,1.82074e-06,6.82812e-07,mol/kg/Pa,0.23382389591638,1.1204386632705,2.1448627688918,3.9810592069609,5.5186657912799,8.0506886086016,10.894913829103,12.37172478247,14.566810414395,17.023228635857,mol/kg,2.43328e-06,mol/kg/Pa,0.00088623370455801,15.112881025211,mol/kg,7.48133e-06,mol/kg/Pa,0.62093963267978,3.0128001612427,7.4728731071232,10.186392152287,11.969427862704,13.352719006268,mol/kg,6.30011e-06,mol/kg/Pa,0.000132935053025,3.85755811155,mol/kg,1.70949e-06,mol/kg/Pa,3.25536e-05,mol/kg/Pa,6.95576e-06,mol/kg/Pa,8.48853e-06,mol/kg/Pa,2.88803e-05,mol/kg/Pa
17061N2,11.473853520897,15.031011789615,17.343097696638,18.156936013914,18.552977625164,18.818870446017,0.1584160186218,0.73658770319454,2.9720300859618,4.8223052755502,6.1340636368195,7.1635815628585,0.043929519565314,0.21454992106792,0.98134190712251,1.8307857289863,2.5626606627684,3.2303843534502,mol/kg,0.00062204,1.60173e-06,4.39991e-07,mol/kg/Pa,0.34224844687194,1.4994117001481,2.6447586073563,4.2046602358269,5.2119849610647,6.4438703306184,7.4561957235056,7.8944144301431,8.5297683422923,9.1873905591746,mol/kg,3.52577e-06,mol/kg/Pa,0.0016053457432275,8.4082784050811,mol/kg,1.55048e-05,mol/kg/Pa,1.2889611999964,4.3138769449332,6.4210669106751,7.150720020939,7.5648867053885,7.7800531042314,mol/kg,1.48945e-05,mol/kg/Pa,0.0001783717492475,3.3541868647312,mol/kg,2.18304e-06,mol/kg/Pa,0.000143625,mol/kg/Pa,1.66594e-05,mol/kg/Pa,9.23835e-06,mol/kg/Pa,0.000122035,mol/kg/Pa
11031N2,16.965446029724,33.446171033272,54.797462084463,67.371047208474,75.860764794632,81.935281794082,0.4824761281936,2.2153051388814,9.3658249638199,16.284589483375,22.086777134619,27.097267784017,0.17575450057028,0.86880869457018,4.105476063249,7.8378014241295,11.339698512916,14.503157878463,mol/kg,0.00420493,4.91701e-06,1.7653e-06,mol/kg/Pa,0.99003318555687,3.5081230866363,6.1078476522354,10.072182666546,13.47726161826,19.005925591337,25.365599927458,28.776562060089,34.371334408199,40.523173213978,mol/kg,1.17737e-05,mol/kg/Pa,0.06677189167831,34.793098763402,mol/kg,0.00067713,mol/kg/Pa,1.439355598737,5.9239208383246,15.028839998838,21.065558666761,25.512767919252,28.927467862315,mol/kg,2.90291e-05,mol/kg/Pa,0.000763044141405,10.435225798694,mol/kg,8.74068e-06,mol/kg/Pa,3.54732e-05,mol/kg/Pa,3.52132e-05,mol/kg/Pa,1.92279e-05,mol/kg/Pa,0.00097256,mol/kg/Pa
15071N2,8.4718400370587,16.850535308388,29.490838017375,37.099493870187,42.120712537514,45.753198319094,0.20898685038382,1.0188409109673,4.5399668995892,8.2946751708417,11.461745853052,14.297035474326,0.09131525891367,0.44408991055461,2.1514885802576,4.1028977214379,5.9619167684506,7.6800294874401,mol/kg,0.00022157,2.09953e-06,9.03668e-07,mol/kg/Pa,0.27181897506834,1.3125110580597,2.4933204942601,4.5201624883146,6.2779526363588,9.2805163526298,12.787315016005,14.758334183361,17.890129687291,21.547107991359,mol/kg,2.8239e-06,mol/kg/Pa,0.0009147534076,17.443615680206,mol/kg,1.05999e-05,mol/kg/Pa,0.68747148906418,3.2238997376575,8.0620991169594,11.351529501854,13.839887458878,15.848457253615,mol/kg,7.29634e-06,mol/kg/Pa,0.00013721301114,4.7783859408625,mol/kg,2.15323e-06,mol/kg/Pa,3.8443e-05,mol/kg/Pa,8.04793e-06,mol/kg/Pa,7.54658e-06,mol/kg/Pa,3.52674e-05,mol/kg/Pa
14040N2,7.1124272570796,15.429242354795,28.055899194334,36.217894157048,41.76486001812,45.831508537799,0.19269313543493,0.94222508469453,4.3049940638353,7.9874042295791,11.1641776318,14.020484007897,0.08895117480691,0.44081661951938,2.0590574193141,4.096362225645,5.9604554508414,7.7396358564886,mol/kg,0.000140847,1.93378e-06,8.88012e-07,mol/kg/Pa,0.22370340944848,1.1326223862611,2.1120185077958,3.9785479595792,5.6318786806212,8.59698941361,12.158884818054,14.156012531689,17.370328598534,21.185508984069,mol/kg,2.33049e-06,mol/kg/Pa,0.00200679003603,15.676870335167,mol/kg,1.74242e-05,mol/kg/Pa,0.51178926795412,2.6021377467189,7.1591945491538,10.423325255906,12.95761202758,14.965962900305,mol/kg,5.32266e-06,mol/kg/Pa,0.00014865111378,4.4203721033142,mol/kg,1.86025e-06,mol/kg/Pa,2.33132e-05,mol/kg/Pa,5.81302e-06,mol/kg/Pa,0.00992394,mol/kg/Pa,3.84352e-05,mol/kg/Pa
15110N2,7.9046778852259,17.506327716673,28.73088719442,35.53693549296,39.872327398127,43.018275506975,0.18545842503138,0.92204187409363,4.135637896309,7.6404191288257,10.651292596682,13.268664985955,0.083084349974827,0.40969420325965,1.9919173141576,3.7570610347171,5.4784914675989,7.1113544723445,mol/kg,0.000113463,1.88288e-06,8.29839e-07,mol/kg/Pa,0.23047554445868,1.1274186573717,2.1984698742814,4.0687233883007,5.8062188909549,8.6868255973961,12.197532279561,14.058495992364,17.076005032517,20.543568853395,mol/kg,2.31741e-06,mol/kg/Pa,0.0006402745199125,16.249724943893,mol/kg,5.86778e-06,mol/kg/Pa,0.50004275869675,2.6892693971816,7.5849247899816,11.12346595173,13.478512049517,15.304598263018,mol/kg,5.02768e-06,mol/kg/Pa,0.000162978968705,4.1980239172583,mol/kg,1.74405e-06,mol/kg/Pa,1.85217e-05,mol/kg/Pa,5.45817e-06,mol/kg/Pa,3.00283e-06,mol/kg/Pa,1.7436e-05,mol/kg/Pa
18133N3,15.306310880577,26.180076004175,34.934264427353,37.804991042255,39.262121585784,40.292252111242,0.25646202132096,1.2059032273561,5.1617385328297,8.7745712971677,11.491163092337,13.621352318022,0.08179570820805,0.40351815459729,1.895541228027,3.5509960896401,5.098784460503,6.4568629334257,mol/kg,0.00109757,2.58737e-06,8.24972e-07,mol/kg/Pa,0.4790718484643,2.1154153575271,3.9880857129024,6.8566821165616,8.9592171270357,11.934004836398,14.674920671579,15.880521155735,17.536735627559,19.199357246378,mol/kg,4.80638e-06,mol/kg/Pa,0.00257606941059,19.676579609112,mol/kg,2.6004e-05,mol/kg/Pa,1.3001224156062,6.0461945348874,11.753179075271,14.007955384374,15.230729664601,15.975323812698,mol/kg,1.40831e-05,mol/kg/Pa,0.0003137520435975,6.0344260810416,mol/kg,3.19647e-06,mol/kg/Pa,9.19117e-05,mol/kg/Pa,1.5904e-05,mol/kg/Pa,7.00095e-06,mol/kg/Pa,8.82138e-05,mol/kg/Pa
