,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,0.0,5.267886,3.81247,0.0,0.0,0.0,3.491736,0.0,3.1995344,0.0,5.421867,7.3338914,0.0,0.0,0.0,1.6509393,2.9849062,4.6689453,0.0,4.974617,4.2056785,0.0,2.7379186,0.0,3.2933378,4.586127,0.0,1.3248352,0.0,0.0,3.8659058,3.9997072,0.0,0.0,2.9702673,2.9454093,0.0,7.1838427,1.7112365,2.6736412,0.0,0.0,1.0436772,0.0,0.0,0.0,0.0,4.0619316,0.0,2.8662703,3.144695,1.5194,0.0,0.0,5.863852,1.423706,1.6202657,4.1941032,0.0,0.0,0.0,0.95101833,5.486798,0.0,0.0,1.8353833,4.974848,0.0,0.0,0.0,0.0,5.8356233,0.0,1.3731526,0.0
1,0.0,2.7526698,4.239555,0.0,0.0,1.5841312,5.1364703,0.0,0.49909255,0.0,5.8811064,4.8309345,0.0,2.3367584,4.799694,0.88383174,3.437922,0.0,0.0,3.2355258,0.0,0.0,3.3844063,0.0,2.4779186,4.310233,5.854004,2.2177143,0.0,0.0,2.6217983,5.515055,0.0,0.0,0.0,3.250749,0.0,5.749756,4.2220025,2.6120992,0.0,0.0,2.949102,0.0,0.0,0.0,0.0,0.0,0.25817442,3.105106,4.378735,0.0,0.0,0.0,0.48462713,0.0,0.47098923,3.6676672,0.0,0.0,0.048537713,3.233861,5.0208087,0.0,0.0,0.4427767,0.07529545,0.0,0.0,0.0,0.0,5.317138,0.0,2.098454,0.0
2,0.0,5.270943,3.990549,0.0,0.0,0.0,3.3539329,0.0,3.4997296,0.0,5.4985695,7.76424,0.0,0.0,0.0,2.1824167,3.0013986,4.707861,0.0,4.9506383,4.263677,0.0,2.9403875,0.0,3.5878854,4.790417,0.0,1.2125263,0.0,0.0,4.1914444,4.062435,0.0,0.0,3.6559396,2.9256008,0.88071704,7.177454,1.760519,2.9312806,0.0,0.0,0.99025214,0.0,0.0,0.0,0.0,3.672683,0.0,2.8020806,2.8527334,2.3388412,0.0,0.0,5.7455125,1.4960837,2.0496805,4.150785,0.0,0.0,0.0,1.2361736,5.535728,0.0,0.0,1.917761,5.225446,0.0,0.0,0.0,0.0,5.317492,0.0,1.5252436,0.0
3,0.0,0.0,3.7945662,0.0,0.0,13.602456,4.7190423,0.0,0.0,0.0,2.1758776,2.9066548,0.0,5.1452937,2.8624697,0.0,0.8733982,0.0,0.0,0.0,0.0,0.0,2.6077988,0.0,0.0,0.552259,12.801728,0.0,0.0,0.0,7.4636326,3.3095589,0.0,0.0,0.7757969,0.5257345,6.341356,1.8610133,2.4510608,1.5154364,0.0,0.0,8.447499,0.0,0.0,0.0,0.0,0.0,3.8076906,0.0,2.2161605,0.0,5.030254,0.0,0.0,0.0,3.6381686,0.0,12.041969,9.907042,0.0,0.3495422,1.3022975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3278003,0.0
4,0.0,5.241252,3.824388,0.0,0.0,0.0,3.60293,0.0,3.0703351,0.0,5.384794,7.634109,0.0,0.0,0.0,2.5123625,3.0512233,4.722701,0.0,4.4547915,3.7879276,0.0,2.5854886,0.0,3.3792892,4.438988,0.0,1.0607367,0.0,0.0,4.249178,3.8884854,0.0,0.0,3.3918471,3.0857272,1.0643406,7.556781,1.7943847,2.8735893,0.0,0.0,1.2809806,0.0,0.0,0.0,0.0,3.6582854,0.0,2.748013,3.0782359,1.6438421,0.0,0.0,5.7094827,1.5318198,1.9155395,3.8970854,0.0,0.0,0.0,1.2719322,5.68622,0.0,0.0,2.1034691,4.700552,0.0,0.0,0.0,0.0,5.4945006,0.0,1.2125342,0.0
5,6.831753,2.9874716,4.3907776,0.0,0.0,0.0,6.308228,0.0,1.9633341,0.0,5.7304473,5.344584,0.0,6.8476415,6.235254,7.0459914,2.449772,6.6144137,0.0,0.0,0.0,0.0,0.6153995,0.0,1.6899093,0.0,2.3568902,1.1292577,2.3520877,0.0,2.243824,4.5365496,0.0,0.0,2.1084726,2.672891,1.5899552,6.9759226,3.4231367,2.6926522,0.0,0.0,5.441424,0.0,6.3835387,0.0,0.0,0.0,4.09355,1.405045,5.637265,0.0,4.6700234,0.0,1.3568709,3.8501961,4.0017715,0.6212318,3.2860484,1.380433,3.847687,3.0770664,5.18424,0.0,0.0,3.880635,0.0,0.0,0.0,0.0,0.0,6.9216523,0.0,1.6853458,0.0
6,0.0,2.8871384,4.3511443,0.0,0.0,0.0,5.1766257,0.0,0.5930859,0.0,6.084358,5.0981393,0.0,1.5913317,4.838704,0.97381306,3.3841648,0.0,0.0,3.3997087,0.0,0.0,3.1266654,0.0,2.3580356,4.440523,5.132639,2.409601,0.0,0.0,2.641975,5.5942087,0.0,0.0,0.0,3.3298068,0.0,6.096051,3.9815464,2.5793555,0.0,0.0,2.916493,0.0,0.0,0.0,0.0,0.58116305,0.5119693,3.139938,4.5878763,0.0,0.0,0.0,1.2930567,0.0,0.45845068,3.7015843,0.0,0.0,0.027887981,2.9779415,5.1671166,0.0,0.0,0.6380937,0.99240506,0.0,0.0,0.0,0.0,6.0764146,0.0,2.13203,0.0
7,0.8551692,3.3217444,4.651733,0.0,0.0,0.0,5.0197186,0.0,2.5207412,0.0,6.574555,5.9943695,0.0,0.025460467,3.2066064,2.7257936,2.4451566,5.5211716,0.0,3.0996845,0.0,0.0,2.1909323,0.0,1.7392925,3.4468145,2.4677205,2.3288765,0.0,0.0,3.2194242,5.8738346,0.0,0.0,0.60110724,2.727609,0.0,6.626599,2.5899477,2.0022995,0.0,0.0,3.865493,0.0,0.0,0.0,0.0,0.7640976,2.565901,2.1668828,4.8120213,0.0,0.0,0.0,3.822194,2.3005908,1.9805665,2.994233,0.0,0.0,1.1921625,2.3427968,4.859202,0.0,0.0,2.4945903,2.9608865,0.0,0.0,0.0,0.0,7.6965084,0.0,3.0370135,0.0
8,0.0,2.2700405,4.8757024,0.0,0.0,3.2943175,2.7703056,0.0,1.3294193,0.0,5.364339,5.6188383,0.0,0.10230164,0.4733456,0.0,3.262084,0.0,0.0,5.4169083,1.0664493,0.0,0.0,0.0,4.3914413,4.3733206,4.821934,2.0016198,2.4502761,0.0,1.706272,4.6607203,0.0,0.0,2.1085033,1.9649136,0.0,6.020116,2.7397428,3.853987,0.0,0.0,3.1553664,0.0,0.0,0.0,0.0,0.0,0.0,2.4679716,2.2952054,0.0,4.94945,0.0,0.0,0.0,3.0065804,5.998515,2.7647653,3.9113603,0.0,0.0,6.1946073,0.0,0.0,0.0,3.2171779,0.0,0.0,0.0,0.0,2.7718601,0.0,2.4236493,0.0
9,5.201725,1.8103113,2.112883,0.0,0.0,0.0,6.3612924,0.0,0.22891232,0.0,3.3476171,1.5868989,0.0,3.9661832,2.0948677,5.9182744,2.0439587,10.116082,0.0,0.49198213,0.0,0.0,1.6852101,0.0,0.3626448,3.6439743,3.240139,0.57148594,4.807927,0.0,0.80705583,1.7756585,0.0,0.0,1.4711984,3.3405466,0.0,5.8564625,2.20929,1.6242883,0.0,0.0,5.980272,0.0,4.8076596,0.0,0.0,0.1767866,3.0301402,2.1925673,5.188564,0.0,0.0,0.0,5.6506314,3.5953782,1.7098098,0.0,0.0,0.0,3.7235603,0.22872841,2.9549417,0.0,0.0,3.041337,2.2205849,0.0,0.0,0.0,0.0,8.332781,0.0,1.4371859,0.0
