,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,3.4860315,2.2539542,1.6568494,0.0,0.0,1.8466834,3.5858543,0.5252896,0.0,0.0,0.63653,0.0,0.413853,0.0,0.68017673,4.5876765,1.3495833,0.0,0.0,0.0,1.6447369,0.0,0.0,0.0,0.0,5.271085,0.0,4.8402343,4.3858795,3.353818,1.0218972,2.1558864,4.90499,3.0626545,0.15396938,0.0,0.0,0.993451,2.9860837,5.3059216,5.3165517,3.8948114,0.7108153,0.5155232,2.9893463,0.0,2.1516485,2.7001874,0.0,3.3215344,5.96443,3.782406,1.284784,9.162556,9.321489,2.1118937,0.0,0.0,3.1411364,0.0,1.9081151,5.2266593,0.0,0.0,3.2714043,3.7790895,0.0,0.33697665,6.865903,0.0,0.0,3.1047406,2.7368069,5.286878,3.5475764
1,0.96629107,2.50255,1.029157,0.0,0.0,1.0156702,3.6937053,0.0,0.0,0.0,0.9232156,0.0,0.11370911,0.0,0.70986676,2.4051764,3.5278308,0.0,0.0,0.0,1.7116798,2.3478901,0.0,1.9548744,0.0,4.945776,0.0,1.5943058,2.0777981,1.2457088,0.0,0.51822466,1.5151944,1.5591751,0.940431,0.0,0.0,1.5668347,2.567139,4.014767,4.014331,2.6581285,0.7866461,3.5056767,0.80943483,0.0,0.22453324,0.0,0.0,1.4821956,3.2833338,1.8942606,0.036618665,6.5278106,6.392054,3.3310447,0.0,0.0,1.1085589,0.7095723,0.7113961,3.8435845,0.0,0.0,2.1865454,0.9397866,0.0,0.0,4.093507,0.0,0.0,1.1835425,2.1182375,3.2498991,3.1299295
2,1.0777793,1.1555971,4.7007422,0.0,0.0,1.9121623,4.091392,3.6224248,0.0,0.0,0.0,0.0,1.3093804,0.0,2.471967,4.314975,2.190471,0.0,0.0,0.0,2.6794186,3.6022022,1.2473361,1.9306906,0.0,5.5282035,0.0,0.8209056,3.7261088,0.0,2.4051242,3.2477129,2.3533218,4.920484,2.7100382,0.0,0.0,2.7172472,3.2130752,6.5429416,5.5983334,3.094286,2.7950482,3.1633406,1.4363735,0.0,1.6521636,0.0,0.0,1.7669163,4.232276,1.7586156,0.0,8.045478,8.0436535,2.6261075,0.0,0.0,2.2367573,0.018766776,3.5663137,7.681897,0.0,0.0,3.998969,1.1590979,0.0,2.4841845,4.626885,0.4721642,0.0,1.6913712,3.012783,4.307442,3.4389672
3,2.3808255,2.0895426,1.0171732,0.0,0.0,1.3826221,3.192871,0.11836895,0.0,0.0,0.9515278,0.0,1.2540598,0.0,0.9397259,2.6208255,2.828148,0.0,0.0,0.0,2.1037498,0.4900651,0.0,0.422806,0.0,5.0213985,0.0,3.0630233,2.3112905,2.826454,0.0,0.0,2.8431232,1.309778,0.9833697,0.0,0.0,1.7329923,3.929737,5.458288,5.7615943,4.414605,0.25261387,1.4043899,2.3516605,0.0,1.0565678,1.5031395,0.0,1.5950005,4.249217,2.5076563,1.6304308,7.994614,7.933364,2.5866446,0.0,0.0,1.0153939,1.5640337,1.2714796,4.8730006,0.0,0.0,3.2825403,2.6138165,0.0,0.0,4.548203,0.0,0.0,1.9219782,2.6646013,4.036999,2.5807395
4,7.2782354,0.0,5.024344,0.0,0.0,6.51858,0.1549338,3.3926218,3.0029624,0.0,3.1656587,0.0,2.1582804,0.0,3.2408543,5.5372033,0.0,0.0,0.0,0.0,3.137988,0.0,0.0,0.0,0.0,1.1006706,0.0,7.2811484,6.278739,3.3782983,5.098599,3.3170617,9.233516,6.496971,2.416091,0.0,0.0,0.77880704,1.0171012,7.401818,6.623169,4.5783024,0.0,0.0,3.5147269,0.0,7.983917,4.2625184,0.0,6.6559334,9.104557,6.2980423,4.8503933,11.213696,10.856057,0.0,0.0,0.0,8.187299,0.7352877,4.340072,7.9910254,0.0,0.0,5.763717,6.4196553,0.0,2.8334296,9.114949,0.0,0.0,5.974941,4.545351,2.8919022,1.0654395
5,0.0,6.8484273,0.0,0.0,0.0,0.0,5.738707,0.0,0.0,0.0,0.0,0.0,9.193006,0.0,0.0,6.992243,0.0,0.0,0.0,0.0,5.0994973,0.0,0.0,0.0,0.0,13.535823,0.0,1.2737453,10.801015,4.4025865,5.4641347,15.845482,6.018072,0.0,0.0,0.0,0.0,0.24733378,0.0,8.745339,3.4945178,5.960517,10.226305,0.112876296,0.8224404,0.0,0.0,1.4709932,0.0,2.023777,6.091346,0.0,0.0,12.271085,13.914181,1.8018507,0.0,0.0,12.156236,0.0,7.5701013,16.38754,0.0,0.0,8.862223,3.6910832,4.12058,4.810504,12.199513,0.0,0.0,0.0,12.0807495,0.0,8.890668
6,4.1488533,0.3066123,2.5176075,0.0,0.0,3.9842799,0.3072816,0.78874826,0.0,0.0,1.6016605,0.0,1.7763218,0.0,2.6392,2.413824,0.0,0.0,0.0,0.0,2.6909037,0.62165177,0.93063724,0.0,0.0,3.1331198,0.0,4.339151,1.7973408,3.04199,0.66324663,0.0,5.034378,3.5612187,2.1232572,0.0,0.0,2.6653757,3.708009,5.303792,6.5266285,4.721839,0.0,0.0,3.0826716,0.0,4.445607,2.7767298,0.0,2.034849,5.208707,4.1765623,3.5736706,8.233852,8.278283,0.023055807,0.0,0.0,3.1892116,2.9050865,0.23826633,4.3404202,0.0,0.0,4.031288,4.0841703,0.0,0.23085077,4.982494,0.0,0.0,2.5610273,3.0338187,3.4088755,0.0
7,5.2287145,1.6838996,0.0,0.0,0.0,0.0,1.688628,0.0,0.0,0.0,3.324207,0.0,1.5627364,0.0,0.32933074,1.9310266,1.2790432,0.0,0.0,0.0,1.6062568,0.0,0.0,0.0,0.0,5.635785,0.0,4.154281,2.7303665,4.0618134,0.0,0.3659631,4.185545,0.0,0.0,0.0,0.0,0.0,3.3553908,4.634051,4.804438,4.551469,0.0,0.0,3.7723114,0.0,1.192411,4.927121,0.0,0.44988608,4.7134013,2.2538176,2.8113267,6.6940002,8.197225,0.76716846,0.0,0.0,2.0671146,0.0,0.0,3.1298761,0.0,0.0,3.942607,4.8037004,0.0,0.0,4.2242656,0.0,0.0,0.86816555,1.4109621,3.1242764,1.6689897
8,2.1710484,5.647189,0.0,0.0,0.0,0.6260249,4.810711,0.0,0.0,0.0,0.0,0.0,4.8944826,0.0,0.0,4.5750933,1.0880495,0.0,0.0,0.0,4.034733,0.0,0.0,0.0,0.0,11.445806,0.0,2.266811,6.208019,4.7314453,0.46932343,6.9141283,4.309775,0.57797,0.0,0.0,0.0,0.21377571,2.7349875,7.050748,3.9280767,5.6369557,3.9305642,0.37402272,4.0573297,0.0,0.0,3.8275793,0.0,0.9185093,3.884187,0.062053293,0.0,9.661781,10.62621,2.1708772,0.0,0.0,5.8130093,0.0,2.6996768,10.012482,0.0,0.0,5.736786,4.4901896,0.353796,0.8339392,7.1297464,0.0,0.0,0.0,7.968577,0.9650959,5.1770377
9,4.8776336,0.0,1.2325616,0.0,0.0,2.0218916,0.8067784,0.25233495,0.0,0.0,2.3888838,0.0,0.2593286,0.0,1.8475049,2.7606754,0.0,0.0,0.0,0.0,1.0691559,0.0,0.12038984,0.0,0.0,3.6008227,0.0,5.0704,2.0690715,3.1881976,0.34784368,0.0,5.3655863,2.7053041,0.8085449,0.0,0.0,1.7893546,3.9498632,3.6412637,5.5869102,3.738558,0.0,0.0,3.89805,0.0,2.8364203,3.9408004,0.0,1.538332,5.808308,3.6596467,3.3680916,6.9800606,8.45346,0.0,0.0,0.0,3.2492552,1.2298995,0.0,3.2128584,0.0,0.0,3.505321,4.5701437,0.0,0.0,5.2060823,0.0,0.0,1.8459463,1.0787177,5.003467,0.47512883
