name,h2_77K_1bar,h2_77K_5bar,h2_77K_25bar,h2_77K_50bar,h2_77K_75bar,h2_77K_100bar,h2_198K_1bar,h2_198K_5bar,h2_198K_25bar,h2_198K_50bar,h2_198K_75bar,h2_198K_100bar,h2_298K_1bar,h2_298K_5bar,h2_298K_25bar,h2_298K_50bar,h2_298K_75bar,h2_298K_100bar,h2_ads_unit,h2_77K_henry,h2_198K_henry,h2_298K_henry,h2_henry_unit,o2_1bar,o2_5bar,o2_10bar,o2_20bar,o2_30bar,o2_50bar,o2_80bar,o2_100bar,o2_140bar,o2_200bar,o2_ads_unit,o2_henry,o2_henry_unit,co2_0.001bar,co2_30bar,co2_ads_unit,co2_henry,co2_henry_unit,ch4_1.0bar,ch4_5.8bar,ch4_20bar,ch4_35bar,ch4_50bar,ch4_65bar,ch4_ads_unit,ch4_henry,ch4_henry_unit,n2_0.001bar,n2_30bar,n2_ads_unit,n2_henry,n2_henry_unit,xe_henry,xe_henry_unit,kr_henry,kr_henry_unit,h2o_henry,h2o_henry_unit,h2s_henry,h2s_henry_unit
20610N2,-0.2503428097594719,0.24943237359176387,0.32872069997034814,0.3866157873375567,0.4084999863119853,0.4243322120915628,0.147836682185886,0.2103886065090485,0.2810648663029117,0.3501598319125692,0.3976351785174333,0.3987752351866755,0.361791613435131,0.4300754892209369,0.45253178829223767,0.4266596295153444,0.4017145710393299,0.43743656712287066,mol/kg,-0.3524769712690308,0.1696753905554205,0.39725457967030386,mol/kg/Pa,-0.36146667544956174,-0.2800101592924859,-0.17272561786360396,0.0032877757522322853,0.13557213690499925,0.24171426509370253,0.37833585060212405,0.37741045579490445,0.41941231785982097,0.4378251552997965,mol/kg,-0.3765019173195777,mol/kg/Pa,-0.29921419695023416,0.7884818559502543,mol/kg,-0.2805408431607902,mol/kg/Pa,-0.5707080478363739,-0.45285392709155586,0.1867591874758616,0.3900985222893721,0.45044375214376176,0.46148852604342866,mol/kg,-0.4479565703615185,mol/kg/Pa,0.35731219769460726,0.3974044177121985,mol/kg,-0.08750334988402739,mol/kg/Pa,-0.2825237490046019,mol/kg/Pa,-0.45621359303239795,mol/kg/Pa,-0.12648802401282708,mol/kg/Pa,-0.4080617338264755,mol/kg/Pa
21052N2,1.1893933393410743,1.2144527917215082,0.8944264548939218,0.73516953702379,0.6604455154994978,0.5911582641719723,0.7667281592185137,0.6894515308183429,0.7033569931145659,0.6471945554840206,0.583814556960057,0.5652954420365656,0.488882443058177,0.520077044589129,0.4675934131222463,0.4817048996100315,0.46876617499739964,0.45196056795779493,mol/kg,0.7872774983820898,0.7810280406224337,0.48247642518457695,mol/kg/Pa,0.8258817181844005,0.7552703546502666,0.9307234919150176,0.8797902350940786,0.7962637847680538,0.7385730945391926,0.6601045659663914,0.6254790737570525,0.5816380328292664,0.5271248185187007,mol/kg,0.7324507372321681,mol/kg/Pa,0.6039342694197135,1.3817165318159903,mol/kg,0.5763246993380001,mol/kg/Pa,0.08864599073813219,0.4332976436591189,0.7388502714263381,0.7390733314114862,0.695078953354652,0.6596571880415458,mol/kg,-0.0658927145748077,mol/kg/Pa,0.5127793070325248,0.9791140747797478,mol/kg,0.8510119233629876,mol/kg/Pa,-0.10708222023211067,mol/kg/Pa,0.10545348935512874,mol/kg/Pa,-0.12386341628202632,mol/kg/Pa,0.41475934996014086,mol/kg/Pa
20473N2,-0.716394470426858,0.2410277049439681,0.8629173281408546,1.1508508152890093,1.3476426373946466,1.4720062983279285,1.3048342149973973,1.2486878116461155,1.4321926718632325,1.5290365060713078,1.5591590721531892,1.6049648436255264,1.785217443076434,1.686797000758415,1.7602125980278445,1.7617891555166274,1.7839968800888646,1.7818799464950015,mol/kg,-0.37019932469454303,1.2188192775719642,1.7125508275481678,mol/kg/Pa,-0.0315501622310386,0.13275027751077725,0.40875168528869066,0.6726609587656479,0.8397942306834654,1.0580335333491817,1.2129930351857636,1.2910968638344251,1.4053444820213274,1.536868982232876,mol/kg,-0.033703326992976186,mol/kg/Pa,-0.2802219427891492,0.8280352026992712,mol/kg,-0.2660157418571736,mol/kg/Pa,-0.5271124192730953,-0.3021698868912163,0.4459907698769588,0.7697231062191009,0.9349148388593161,1.0423879186585034,mol/kg,-0.41723410725748084,mol/kg/Pa,0.32032810492958036,1.2867932868623233,mol/kg,0.38267639647773194,mol/kg/Pa,-0.28762211831887363,mol/kg/Pa,-0.438422464538825,mol/kg/Pa,-0.1248957170054765,mol/kg/Pa,-0.4149090167102782,mol/kg/Pa
15161N2,0.6745312590839214,0.2832072736049369,0.03717525633767788,-0.04638874841393242,-0.09227732286778954,-0.12171536114823128,-0.283391009042123,-0.28946774033076056,-0.21019623843133833,-0.19068467272425654,-0.1823806438907438,-0.17848579602595172,-0.31122209416693625,-0.2869288385711826,-0.29053335216695303,-0.26564341548744347,-0.2652268398610807,-0.2598749023709735,mol/kg,0.5782414766265459,-0.3042223401631438,-0.2937582810340411,mol/kg/Pa,-0.6038140032878333,-0.593955678109265,-0.5292731956121456,-0.4266632706176129,-0.3731653094401841,-0.29811885674322125,-0.24701394770737348,-0.23218423051920747,-0.23108551092016957,-0.22440448406119964,mol/kg,-0.5308821968073875,mol/kg/Pa,-0.286606115449124,-0.3995906290738111,mol/kg,-0.29821798487157775,mol/kg/Pa,-0.49154798714381576,-0.4780787313887384,-0.2752906911906427,-0.22334734275910859,-0.2201041159420192,-0.2132517648900468,mol/kg,-0.39777713718064805,mol/kg/Pa,-0.9541755411570069,-0.5561968408215916,mol/kg,-0.7153959348690244,mol/kg/Pa,-0.24266548657389095,mol/kg/Pa,-0.3996189552512186,mol/kg/Pa,-0.12613118749761557,mol/kg/Pa,-0.3604540848142083,mol/kg/Pa
17061N2,0.8118283563731673,-0.46967685188368635,-0.8898612742280122,-0.9164096114266777,-0.9119658613728648,-0.9040379258494678,-0.5517686448516739,-0.6073798831549556,-0.6792476735977266,-0.7529809533700558,-0.7877876882335783,-0.8046825238291806,-0.7817341407515774,-0.7921293764950561,-0.8045981321973291,-0.8042849293177115,-0.8156926223562978,-0.8187487430287581,mol/kg,-0.0007774429408269059,-0.5488907560157433,-0.7848274255433293,mol/kg/Pa,0.17553790509296988,0.11745610825606545,0.0027467248647779006,-0.2943138809849899,-0.4992534763834237,-0.7128433491213955,-0.8316313417434518,-0.8631208626863064,-0.8809918474101867,-0.8794929887766509,mol/kg,0.15533682645584496,mol/kg/Pa,-0.16771962368114002,-1.1114593502218753,mol/kg,-0.17116934804989586,mol/kg/Pa,0.9807782634679676,0.6191414950487577,-0.6624393378030216,-0.920635468708748,-0.9713121267099756,-0.9835483095721963,mol/kg,0.4968822660542306,mol/kg/Pa,-0.6205121955161675,-0.7889716720267981,mol/kg,-0.33568718134808073,mol/kg/Pa,0.18516997538833,mol/kg/Pa,0.4631431941509501,mol/kg/Pa,-0.12607906009991487,mol/kg/Pa,0.17358525113336642,mol/kg/Pa
11031N2,2.847410493259231,2.9147719583064866,2.0216022414854518,1.7607559783288884,1.6511070247326638,1.5832766023168334,3.0939268615056155,2.798917705523898,2.3920696996083453,2.0887531775345574,1.9429056241318703,1.8470846244615247,1.8762303303988679,1.8611199680675856,1.8274105983213031,1.7574873902067387,1.7184511863253986,1.6696173961496228,mol/kg,2.5762210499460774,3.1547954030993948,1.8954117499829237,mol/kg/Pa,4.831792119334392,3.888228212593114,3.6883792436718412,3.1786710882692373,2.8989164785277364,2.5294598177103693,2.2131513048510945,2.0795636646900233,1.9009330307791432,1.740228195165262,mol/kg,5.336058360331223,mol/kg/Pa,10.605875602444414,1.6899786156624328,mol/kg,10.305417433837823,mol/kg/Pa,1.31224903034788,1.9769189509421314,2.505908322329024,2.275576553677327,2.0897540916798203,1.9396092605162583,mol/kg,1.9682668321448682,mol/kg/Pa,3.6730162229188834,2.4855253379385416,mol/kg,4.922455169911726,mol/kg/Pa,-0.2314194915225555,mol/kg/Pa,2.1127835731817015,mol/kg/Pa,-0.1253845877656202,mol/kg/Pa,5.049493887056309,mol/kg/Pa
15071N2,-0.30093538430314487,-0.13527386754102125,0.054426616389185244,0.11403395128006182,0.1420937232720208,0.15739987763478938,0.017156220202406598,0.04280411943417893,0.07392499893511904,0.10789039370746524,0.12417416705086544,0.14427686714371402,0.17369639044934293,0.13873598033668105,0.18122261229255376,0.16468766947675495,0.1657551008289382,0.16347149391756557,mol/kg,-0.28881603370035863,0.0072296832857681945,0.15288993711736826,mol/kg/Pa,-0.33070669331800373,-0.23339555326696837,-0.1584230362880488,-0.10756818148515057,-0.060993575677317835,0.019303277323405664,0.07471368927356713,0.10413359853499854,0.12668013454637478,0.15379901293648637,mol/kg,-0.285524459100787,mol/kg/Pa,-0.28189112354438356,-0.15212225664480938,mol/kg,-0.24883659909547434,mol/kg/Pa,-0.3449111067655853,-0.30005486074698495,-0.0584084813051703,0.044282494654438904,0.0989085081380097,0.13172828274925133,mol/kg,-0.2940715179005498,mol/kg/Pa,-0.9227604530050776,-0.1303768443639227,mol/kg,-0.3595898694326744,mol/kg/Pa,-0.2199801313007936,mol/kg/Pa,-0.30251282428257525,mol/kg/Pa,-0.1261966717501884,mol/kg/Pa,-0.32383797588324986,mol/kg/Pa
14040N2,-0.8048322716144636,-0.3964876415884209,-0.05711637997047878,0.06607639685784585,0.12617833046137245,0.1604859552575282,-0.16614904205133457,-0.13368416560883306,-0.03894633436048528,0.03171165782993119,0.07323815846164311,0.10748737997351711,0.12602976827594178,0.1254616343966235,0.10335155733219362,0.161900519739464,0.16533318297520494,0.1766290784366326,mol/kg,-0.346876160955538,-0.17793898448085613,0.12122801938192776,mol/kg/Pa,-0.6765597086929936,-0.5710842775243136,-0.5642280798738157,-0.4281496772762501,-0.3266191797672742,-0.1571170227789792,-0.03212589843839627,0.019255230836017715,0.0707219322905604,0.1235687617911629,mol/kg,-0.5954470471961577,mol/kg/Pa,-0.10135124011204867,-0.3397084299984872,mol/kg,-0.14077636926197287,mol/kg/Pa,-0.7321164883899302,-0.8243973446339029,-0.3907494416707918,-0.16892425862829305,-0.05156627414300338,0.009743156957344975,mol/kg,-0.499527794724922,mol/kg/Pa,-0.8387650063300655,-0.29593379886043686,mol/kg,-0.5945113573570036,mol/kg/Pa,-0.27825854475732703,mol/kg/Pa,-0.5012213249401019,mol/kg/Pa,0.5631898257568818,mol/kg/Pa,-0.3056775415904581,mol/kg/Pa
15110N2,-0.5111667776800197,-0.014748391405570233,-0.004647115896313973,0.029033380956670036,0.04153539999836148,0.049621043276115655,-0.24753996438012776,-0.1801771736321739,-0.12029810580758095,-0.05431302851078854,-0.014554538097611746,0.007473315252778403,0.007737985919816357,-0.0007507052565475389,0.046787615417820824,0.01720098123092469,0.026178485798980324,0.03794145921751697,mol/kg,-0.3665721401034368,-0.23480224354161716,0.0035818300344708453,mol/kg/Pa,-0.6278818373299381,-0.5808527668486995,-0.4722212144754824,-0.37477486495236345,-0.25494128085833334,-0.13393004125880018,-0.02555543306772373,0.005513329546925544,0.03903708592901036,0.06990154761384836,mol/kg,-0.603662907134723,mol/kg/Pa,-0.32726907616762263,-0.27888494785904133,mol/kg,-0.3237679436728975,mol/kg/Pa,-0.7580059128918238,-0.7509177387805266,-0.2340467267457064,-0.008103269875661954,0.03727482310463208,0.05655192934574176,mol/kg,-0.5302346431186096,mol/kg/Pa,-0.7335487294528593,-0.39875465286240813,mol/kg,-0.6876845326481738,mol/kg/Pa,-0.2967149036039066,mol/kg/Pa,-0.5327714596024924,mol/kg/Pa,-0.12651255271268935,mol/kg/Pa,-0.42606222237876307,mol/kg/Pa
18133N3,2.232414776287358,1.5793652778333562,0.47756388362509006,0.152411821100031,0.014244135585458256,-0.05780707964006156,0.5512547168602535,0.4737112703679048,0.37259864358885403,0.22686643519652056,0.12920964008151237,0.054391114119344955,-0.018244676895851065,-0.02579675389824301,-0.03440694519716339,-0.07067817526094144,-0.0834521410222256,-0.1065318223764589,mol/kg,0.3412481546417139,0.5522232451757833,-0.0062609493228610955,mol/kg/Pa,1.1590197660034636,1.2738240280273887,1.432398113966879,1.2754171662632001,1.0413763523100936,0.7041764079946286,0.3956260366780144,0.2622706972160125,0.08863616600106967,-0.042476677030980924,mol/kg,0.9597185081015603,mol/kg/Pa,-0.0072356864320806905,0.08496519901848731,mol/kg,-0.004918455640725932,mol/kg/Pa,1.005377694886112,2.08003444321111,1.3002036044802776,0.6544584771720142,0.33612091445596737,0.14926474982179447,mol/kg,0.4124170928674449,mol/kg/Pa,0.37364991797600944,0.4504559573999823,mol/kg,0.4769160117270539,mol/kg/Pa,-0.01402426899042925,mol/kg/Pa,0.3959796835860077,mol/kg/Pa,-0.12623460388324356,mol/kg/Pa,-0.020305676419941278,mol/kg/Pa
